Model,Accuracy,Precision,Recall,F1
Naive Bayes,0.9864603481624759,0.975609756097561,0.916030534351145,0.9448818897637795
Logistic Regression,0.9796905222437138,0.9910714285714286,0.8473282442748091,0.9135802469135802
SVM,0.9845261121856866,1.0,0.8778625954198473,0.9349593495934959
